#Parameters = {Gndy=18; Inset=2; L=4; L1=21.5; L2=11; L3=9; y_p=2; Mesh Pass=6}
#"Frequency / GHz"	"S1,1 (18) [Magnitude]"
#-----------------------------------------
1.0000000000000	-0.083512905806699
1.0060000419617	-0.062506184622831
1.0119999647141	-0.043182178394488
1.0180000066757	-0.026491046355570
1.0240000486374	-0.013290056654872
1.0299999713898	-0.0042878950473369
1.0360000133514	6.7218067779638e-08
1.0420000553131	-0.00070895365832270
1.0479999780655	-0.0064484708208625
1.0540000200272	-0.016995392062351
1.0599999427795	-0.031884296173251
1.0659999847412	-0.050428827750164
1.0720000267029	-0.071756907931302
1.0779999494553	-0.094861047332911
1.0839999914169	-0.11863968439250
1.0900000333786	-0.14196074325736
1.0959999561310	-0.16371867190720
1.1019999980927	-0.18288876766180
1.1080000400543	-0.19858757478539
1.1139999628067	-0.21011789720840
1.1200000047684	-0.21701033337262
1.1260000467300	-0.21904650091446
1.1319999694824	-0.21627328009754
1.1380000114441	-0.20899009361045
1.1440000534058	-0.19772778845095
1.1499999761581	-0.18319798637992
1.1560000181198	-0.16624732005270
1.1619999408722	-0.14778923674015
1.1679999828339	-0.12874445800910
1.1740000247955	-0.10998225288359
1.1799999475479	-0.092278609250184
1.1859999895096	-0.076275880806619
1.1920000314713	-0.062468317055786
1.1979999542236	-0.051197536376586
1.2039999961853	-0.042597585892382
1.2100000381470	-0.036607185142806
1.2159999608994	-0.033324572068831
1.2220000028610	-0.032792051088023
1.2280000448227	-0.034985033137939
1.2339999675751	-0.039813189491387
1.2400000095367	-0.047127587420559
1.2460000514984	-0.056722537585903
1.2519999742508	-0.068341884917101
1.2580000162125	-0.081682904928264
1.2640000581741	-0.096404362340738
1.2699999809265	-0.11212721571297
1.2760000228882	-0.12844586072650
1.2819999456406	-0.14493361296872
1.2879999876022	-0.16115529905200
1.2940000295639	-0.17667578833129
1.2999999523163	-0.19107142511285
1.3059999942780	-0.20394938405840
1.3120000362396	-0.21495626712545
1.3179999589920	-0.22379118624918
1.3240000009537	-0.23022526043923
1.3300000429153	-0.23410202561012
1.3359999656677	-0.23535314547248
1.3420000076294	-0.23399653149098
1.3480000495911	-0.23014182224899
1.3539999723434	-0.22397861399161
1.3600000143051	-0.21577628443069
1.3660000562668	-0.20586428280549
1.3719999790192	-0.19462561887855
1.3780000209808	-0.18247906022050
1.3839999437332	-0.16986174108182
1.3899999856949	-0.15721586683991
1.3960000276566	-0.14497498060039
1.4019999504089	-0.13355144948660
1.4079999923706	-0.12332310075879
1.4140000343323	-0.11462920514620
1.4199999570847	-0.10775790926045
1.4259999990463	-0.10294502246810
1.4320000410080	-0.10036793037597
1.4379999637604	-0.10014268244535
1.4440000057220	-0.10232328204889
1.4500000476837	-0.10689987613603
1.4559999704361	-0.11379754774198
1.4620000123978	-0.12287896460284
1.4680000543594	-0.13394490754597
1.4739999771118	-0.14673662211319
1.4800000190735	-0.16094482909226
1.4859999418259	-0.17620787134228
1.4919999837875	-0.19212876498356
1.4980000257492	-0.20827825106036
1.5039999485016	-0.22421210314748
1.5099999904633	-0.23948252137937
1.5160000324249	-0.25365223605631
1.5219999551773	-0.26631626192872
1.5279999971390	-0.27711200176357
1.5340000391006	-0.28573614290030
1.5399999618530	-0.29196006222674
1.5460000038147	-0.29563589949050
1.5520000457764	-0.29670616428200
1.5579999685287	-0.29520721626319
1.5640000104904	-0.29126574591091
1.5700000524521	-0.28509456580823
1.5759999752045	-0.27698269043147
1.5820000171661	-0.26728317131766
1.5880000591278	-0.25640232814650
1.5939999818802	-0.24478016206850
1.6000000238419	-0.23288041231427
1.6059999465942	-0.22116875890536
1.6119999885559	-0.21010335452070
1.6180000305176	-0.20012044320084
1.6239999532700	-0.19162150340147
1.6299999952316	-0.18496307549152
1.6360000371933	-0.18044875285895
1.6419999599457	-0.17832284707540
1.6480000019073	-0.17876037126459
1.6540000438690	-0.18186690657424
1.6599999666214	-0.18767330680392
1.6660000085831	-0.19613046216665
1.6720000505447	-0.20711533107221
1.6779999732971	-0.22042845556963
1.6840000152588	-0.23579458998702
1.6900000572205	-0.25287460413839
1.6959999799728	-0.27126684778412
1.7020000219345	-0.29051994304173
1.7079999446869	-0.31015014748848
1.7139999866486	-0.32964639659525
1.7200000286102	-0.34849555153140
1.7259999513626	-0.36619923940441
1.7319999933243	-0.38229297767537
1.7380000352859	-0.39636279433680
1.7439999580383	-0.40806424761051
1.7500000000000	-0.41713786509669
1.7560000419617	-0.42342134772380
1.7619999647141	-0.42685282322199
1.7680000066757	-0.42748041761686
1.7740000486374	-0.42545355922817
1.7799999713898	-0.42102350243497
1.7860000133514	-0.41452770302773
1.7920000553131	-0.40637907560505
1.7979999780655	-0.39704995250461
1.8040000200272	-0.38705660959865
1.8099999427795	-0.37693744959917
1.8159999847412	-0.36724019180252
1.8220000267029	-0.35850007827776
1.8279999494553	-0.35122845378241
1.8339999914169	-0.34589732127408
1.8400000333786	-0.34292077825851
1.8459999561310	-0.34265546673307
1.8519999980927	-0.34537901849746
1.8580000400543	-0.35129006613527
1.8639999628067	-0.36049732973895
1.8700000047684	-0.37301888669288
1.8760000467300	-0.38877521947429
1.8819999694824	-0.40759479736598
1.8880000114441	-0.42920805373744
1.8940000534058	-0.45325859355318
1.8999999761581	-0.47930923128291
1.9060000181198	-0.50684912318796
1.9119999408722	-0.53531293890808
1.9179999828339	-0.56409465789942
1.9240000247955	-0.59256487228752
1.9299999475479	-0.62010164232740
1.9359999895096	-0.64610289056256
1.9420000314713	-0.67002124338642
