#Parameters = {Gndy=18; Inset=2; L=4; L1=21.5; L2=11; L3=9; y_p=2; Mesh Pass=6}
#"Frequency / GHz"	"Gain (18) [Real Part]"
#-----------------------------------------
2.0000000000000	-7.5046340393976
2.0020000000000	-7.4537026816366
2.0040000000000	-7.3986225726771
2.0060000000000	-7.3408869172835
2.0080000000000	-7.2806205752054
2.0100000000000	-7.2166317247056
2.0120000000000	-7.1504428827667
2.0140000000000	-7.0822856020746
2.0160000000000	-7.0108866270123
2.0180000000000	-6.9379009080481
2.0200000000000	-6.8635251789914
2.0220000000000	-6.7865596751297
2.0240000000000	-6.7086178374123
2.0260000000000	-6.6299269062443
2.0280000000000	-6.5493205813670
2.0300000000000	-6.4684386739424
2.0320000000000	-6.3874448752146
2.0340000000000	-6.3051958309001
2.0360000000000	-6.2233079665534
2.0380000000000	-6.1419679239692
2.0400000000000	-6.0599772579131
2.0420000000000	-5.9789508448617
2.0440000000000	-5.8990581136038
2.0460000000000	-5.8190884043038
2.0480000000000	-5.7406176284087
2.0500000000000	-5.6637822566014
2.0520000000000	-5.5873699296531
2.0540000000000	-5.5129014887412
2.0560000000000	-5.4405004379737
2.0580000000000	-5.3689045461152
2.0600000000000	-5.2996258008000
2.0620000000000	-5.2327455776600
2.0640000000000	-5.1669699475535
2.0660000000000	-5.1037779364095
2.0680000000000	-5.0432299272683
2.0700000000000	-4.9839997934817
2.0720000000000	-4.9275258176295
2.0740000000000	-4.8738383622196
2.0760000000000	-4.8215805095691
2.0780000000000	-4.7721544629421
2.0800000000000	-4.7255710599071
2.0820000000000	-4.6804306053992
2.0840000000000	-4.6381200924026
2.0860000000000	-4.5986198534299
2.0880000000000	-4.5604849897821
2.0900000000000	-4.5250962211405
2.0920000000000	-4.4923879212976
2.0940000000000	-4.4608946989340
2.0960000000000	-4.4319626642441
2.0980000000000	-4.4055071514570
2.1000000000000	-4.3800398068814
2.1020000000000	-4.3568825371160
2.1040000000000	-4.3359248289662
2.1060000000000	-4.3156560447088
2.1080000000000	-4.2973838860817
2.1100000000000	-4.2809496919944
2.1120000000000	-4.2648622797690
2.1140000000000	-4.2503695907761
2.1160000000000	-4.2373397278870
2.1180000000000	-4.2242244661300
2.1200000000000	-4.2122962558906
2.1220000000000	-4.2013964401886
2.1240000000000	-4.1899642675139
2.1260000000000	-4.1792522996855
2.1280000000000	-4.1691246363364
2.1300000000000	-4.1580123718247
2.1320000000000	-4.1471482756092
2.1340000000000	-4.1363955863114
2.1360000000000	-4.1241979598045
2.1380000000000	-4.1118174547075
2.1400000000000	-4.0991020768137
2.1420000000000	-4.0845113240025
2.1440000000000	-4.0693204180654
2.1460000000000	-4.0533905817514
2.1480000000000	-4.0352031486377
2.1500000000000	-4.0160473318991
2.1520000000000	-3.9958104516468
2.1540000000000	-3.9730009424093
2.1560000000000	-3.9489205187789
2.1580000000000	-3.9235054688145
2.1600000000000	-3.8952715348460
2.1620000000000	-3.8655680657074
2.1640000000000	-3.8343427248892
2.1660000000000	-3.8001406921171
2.1680000000000	-3.7643436857168
2.1700000000000	-3.7269449436344
2.1720000000000	-3.6864978842787
2.1740000000000	-3.6444419834677
2.1760000000000	-3.6007602319024
2.1780000000000	-3.5540770233454
2.1800000000000	-3.5058243591228
2.1820000000000	-3.4560271978187
2.1840000000000	-3.4033134676175
2.1860000000000	-3.3491659205167
2.1880000000000	-3.2936181953815
2.1900000000000	-3.2353348828538
2.1920000000000	-3.1757912606034
2.1940000000000	-3.1150617290446
2.1960000000000	-3.0518090391582
2.1980000000000	-2.9875340290628
2.2000000000000	-2.9222914925331
2.2020000000000	-2.8548140216463
